"Parameter","Description","Instrument Count","List of Instruments"
"Pressure source count slider 1-4 plus 4 source toggle buttons I-IV","Sets how many independent pressure sources are active and toggles each on or off.","1","Alien Larynx"
"Start selected source and Sever buttons","Starts the currently selected excitation source or immediately cuts it off.","1","Alien Larynx"
"internal glottis sliders Exciter pitch 40-420Hz default 140, Intensity 0-1, Tenseness 0-1 default 0.6, Breath 0-1 default 0.12, Vibrato 0-1 default 0.12, Wobble 0-1 default 0.03","Sets the internal synthetic glottis's pitch, intensity, tension, breathiness, vibrato, and pitch wobble.","1","Alien Larynx"
"Throat/mouth-branch count slider 1-7 plus 7 mouth-gate toggle buttons","Sets how many mouth branches exist and toggles each branch open or closed.","1","Alien Larynx"
"Body length, Tension, and Mutation sliders 0-1","Adjusts the overall body length, tension, and random mutation of the vocal model.","1","Alien Larynx"
"Anatomy motion toggle plus Motion depth 0-1 and 4 motion-target toggle buttons Mouths/Tongues/Noses/Pressure","Animates chosen anatomy parts over time with adjustable motion depth.","1","Alien Larynx"
"Close airway button, Selected aperture 0.05-1, and Selected length 0-1 sliders for the active mouth","Closes the current mouth's airway or adjusts its aperture and length.","1","Alien Larynx"
"Tongue count slider 1-5 plus 5 tongue-select buttons and per-tongue Position/Height/Curl sliders 0-1","Sets how many tongues exist and adjusts each one's position, height, and curl.","1","Alien Larynx"
"Nose count slider 1-3 plus 3 nose-select buttons and per-nose Openness/Length/Resonance sliders 0-1","Sets how many noses exist and adjusts each one's openness, length, and resonance.","1","Alien Larynx"
"Oral closure slider 0-1","Controls how closed the mouth is, shaping plosive/stop-like articulation.","1","Alien Larynx"
"Wet 0-1 default 1, Dry 0-0.5, Growl 0-1, Coupling 0-0.72, and Spread 0-1 mix sliders","Balances processed/wet, dry, growl, coupling, and stereo spread levels in the output mix.","1","Alien Larynx"
"Record button, Download take link, and Clear take button","Records audio output, lets you download the recording, and clears it.","1","Alien Larynx"
"Escape key as an emergency sever","Immediately cuts audio output as an emergency stop.","1","Alien Larynx"
"Audio button, label reads type to start","Enables audio playback, prompting the user to begin typing to start sound.","1","Spelling Synthesizer"
"typing textarea, 6 rows, max 1600 characters, where holding a vowel key sustains that vowel's voice and other characters trigger discrete articulations","Text input where typed characters drive live vocal synthesis, with vowels sustaining while held.","1","Spelling Synthesizer"
"Read it back to me toggle button/data-primary-transport for full readback playback","Plays the entered text back aloud using the voice synthesizer.","1","Spelling Synthesizer"
"Start over button, hidden until a readback is running","Restarts the current text readback from the beginning.","1","Spelling Synthesizer"
"Clear text button","Clears the entered text.","1","Spelling Synthesizer"
"Synth engine buttons Bellazoid/KAL samples default/Voxazoid, exclusive selection with a live engine-index readout and description","Selects which underlying synthesis engine generates the voice.","1","Spelling Synthesizer"
"Personality buttons Clear default/Velvet/Whisper/Reed/Creature, exclusive selection, each a fixed named bundle of pitch, breath, tension, and spectral offsets","Applies a named preset voice personality bundling pitch, breath, tension, and tone settings.","1","Spelling Synthesizer"
"Rhythm-to-dynamics slider 0-1 default 0.72","Sets how strongly typing rhythm affects the loudness/dynamics of speech.","1","Spelling Synthesizer"
"Letter-pair timing slider 0-320ms default 180","Sets the timing gap between consecutive letters in the speech synthesis.","1","Spelling Synthesizer"
"Join letter pairs on/off switch button default on","Toggles smooth blending between adjacent letters versus discrete articulation.","1","Spelling Synthesizer"
"Reset Spelling Synthesizer button","Resets all spelling synthesizer settings to their defaults.","1","Spelling Synthesizer"
"Word/lyric text input, max 32 chars, with a live phoneme readout and Set lyric button","Enters the lyric text to be sung, showing its phoneme breakdown.","1","Vocalzoid"
"Sing word play button/data-primary-transport","Triggers singing playback of the entered lyric.","1","Vocalzoid"
"Loop toggle switch","Turns on continuous looping of the melody/sequence.","1","Vocalzoid"
"editable piano-roll grid spanning 24 semitones with draggable/resizable notes, double-click to cut a note or add one in empty space, plus an editing toolbar with Add note, Randomize, Cut/split, and Delete buttons","Edits the melody as a piano-roll grid of notes you can add, resize, split, and delete.","1","Vocalzoid"
"per-selected-note phoneme/diphone dropdown menus","Chooses which phoneme or diphone sound is sung for the selected note.","1","Vocalzoid"
"Pitch slider 48-72 MIDI note default 55","Sets the base singing pitch as a MIDI note number.","1","Vocalzoid"
"Length slider 0.25-16 beats default 2","Sets the duration of the sung phrase/note in beats.","1","Vocalzoid"
"optional local-bank alias text input with a datalist of bank aliases","Names or selects a locally loaded voicebank alias to use.","1","Vocalzoid"
"KAL rendering-style buttons Raw/Glass/Velvet","Chooses the timbral rendering style applied to the synthesized voice.","1","Vocalzoid"
"Melody preset buttons Lift/Answer/Orbit","Loads one of several named preset melodies.","1","Vocalzoid"
"Tempo slider 40-220 BPM default 108","Sets the singing playback speed in beats per minute.","1","Vocalzoid"
"Vibrato slider 0-80 cents default 22","Sets the depth of pitch vibrato applied to the sung voice.","1","Vocalzoid"
"Pitch glide slider 0-240ms default 65","Sets how quickly pitch glides/slides between notes.","1","Vocalzoid"
"8 bundled open-demo-voice buttons","Loads one of 8 built-in demo voicebanks.","1","Vocalzoid"
"Return to KAL16 source button","Resets the voice source back to the default KAL16 voicebank.","1","Vocalzoid"
"voicebank folder file picker, drag-and-drop directory of WAV+oto.ini up to 512MB","Loads a custom voicebank folder of samples and configuration for singing synthesis.","1","Vocalzoid"
"Use/Remove buttons for a loaded local bank","Activates or removes a custom-loaded local voicebank.","1","Vocalzoid"
"Fallback source pitch slider 36-84 MIDI note default 60 for the local bank","Sets the assumed base pitch for a local voicebank's samples.","1","Vocalzoid"
"Reset Vocalzoid button","Resets all Vocalzoid settings to their defaults.","1","Vocalzoid"
"Master level slider 0-0.82 default 0.58","Sets the overall output volume of the instrument.","1","Shepard–Risset"
"Mode switch buttons Octave Bank/Morphisma Sweep","Switches between the octave-bank drone mode and the continuous sweep mode.","1","Shepard–Risset"
"Octave Bank preset buttons Classic rise/Classic fall/Tight spiral/Deep descent","Loads a named preset configuration for the octave-bank illusion.","1","Shepard–Risset"
"Direction switch buttons Rise/Fall, up/down arrow keys on the canvas also set direction","Sets whether the pitch illusion appears to continuously rise or fall.","1","Shepard–Risset"
"Glissando speed slider 0.02-1.2 oct/s default 0.12, Octave Bank mode only","Sets how fast the perceived pitch glides in octave-bank mode.","1","Shepard–Risset"
"Center frequency slider 40-1200Hz default 220, Octave Bank mode only","Sets the central pitch around which the octave bank of tones is built.","1","Shepard–Risset"
"Octave bank width slider 3-9 octaves default 5, Octave Bank mode only","Sets how many octaves the stacked tone bank spans.","1","Shepard–Risset"
"Stereo spread slider 0-1 default 0.26, Octave Bank mode only","Sets how widely the octave bank's voices are spread across the stereo field.","1","Shepard–Risset"
"Voices slider 1-64 default 8, Morphisma mode only","Sets how many overlapping tone layers are used in the sweep illusion.","1","Shepard–Risset"
"Sweep speed slider 0.01-10 cycles/s default 0.05, Morphisma mode only","Sets how fast the continuous Risset sweep cycles.","1","Shepard–Risset"
"Start frequency slider 10-3000Hz default 100, Morphisma mode only","Sets the starting pitch of the continuous sweep.","1","Shepard–Risset"
"Sweep range","Sets the interval ratio spanned by each cycle of the continuous pitch sweep.","1","Shepard–Risset"
"Audio button toggles the whole engine on/off","Turns the entire audio processing engine on or off.","1","Slippery Resynthesis"
"Output range slider min 0 max 0.82 step 0.01 default 0.65 sets master output gain","Sets the overall master output volume.","1","Slippery Resynthesis"
"Source choice-switch Mic/File buttons pick input","Chooses whether the input audio comes from the microphone or a loaded file.","1","Slippery Resynthesis"
"File picker","Loads a local audio file to use as the processing source.","1","Slippery Resynthesis"
"Presets is a generated grid of 14 buttons","Loads one of 14 named preset settings bundles.","1","Slippery Resynthesis"
"Direction choice-switch Fall/Rise buttons set slip polarity","Sets whether the pitch-slip effect moves upward or downward.","1","Slippery Resynthesis"
"Slip rate range 0-4 step 0.01 default 0.12 oct/s","Sets how fast the pitch slips in octaves per second.","1","Slippery Resynthesis"
"Octave layers","Sets how many stacked octave layers make up the resynthesis bank.","1","Slippery Resynthesis"
"Band coherence range 0-1 step 0.01 default 1","Sets how tightly correlated the spectral bands move together during processing.","1","Slippery Resynthesis"
"Spectral memory Track/Hold choice-switch","Chooses whether the spectral analysis continuously tracks or freezes/holds a snapshot.","1","Slippery Resynthesis"
"Resynthesis bands","Sets how many frequency bands are used to analyze and resynthesize the sound.","1","Slippery Resynthesis"
"Spectral response range 2-1000 step 1","Sets the analysis time window in milliseconds, affecting responsiveness versus smoothness.","1","Slippery Resynthesis"
"Consonant detail range 0-1 step 0.01 default 0.72","Sets how much fine transient/consonant detail is preserved in the resynthesis.","1","Slippery Resynthesis"
"Analysis gate range -100 to -18 step 1 dB default -66","Sets the noise-floor threshold below which input is ignored during analysis.","1","Slippery Resynthesis"
"High-frequency limit range 1000-20000 step 100 Hz default 10000","Sets the highest frequency included in the spectral processing.","1","Slippery Resynthesis"
"Transpose range -24 to 24 step 1 semitone default 0","Shifts the resynthesized pitch up or down in semitones.","1","Slippery Resynthesis"
"Glide contour range -0.9 to 0.9 step 0.01 default 0","Shapes the curve/contour of pitch glides during resynthesis.","1","Slippery Resynthesis"
"Spectral tilt range -9 to 9 step 0.1 dB/oct default 0","Tilts the spectral balance toward brighter or darker tone.","1","Slippery Resynthesis"
"Carrier color range 0-1 step 0.01 default 0.12","Adjusts the tonal color/character of the carrier signal used in resynthesis.","1","Slippery Resynthesis"
"Octave spread","Sets the stereo width of the layered octave voices.","1","Slippery Resynthesis"
"Dry/slip mix range 0-1 step 0.01 default 0.9","Balances the mix between unprocessed dry signal and the pitch-slip effect.","1","Slippery Resynthesis"
"Reset-all-parameters button restores defaults","Resets all parameters back to their default values.","1","Slippery Resynthesis"
